https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume THETA,Volume USDT
1644192000,2022-02-07 00:00:00,THETA/USDT,3.5083,3.7044,3.4068,3.5922,1719289.70494696,6066796.036772893101
1644105600,2022-02-06 00:00:00,THETA/USDT,3.2678,3.614,3.2667,3.5083,1492596.03235468,5143293.430993853688
1644019200,2022-02-05 00:00:00,THETA/USDT,3.0541,3.4357,3.039,3.2686,1853058.56200607,6077607.743391538365
1643932800,2022-02-04 00:00:00,THETA/USDT,2.7972,3.0573,2.7719,3.0489,1076926.46907846,3136133.156867731776
1643846400,2022-02-03 00:00:00,THETA/USDT,2.7475,2.8342,2.676,2.7941,705656.2146144,1943915.095286612619
1643760000,2022-02-02 00:00:00,THETA/USDT,2.9211,2.95,2.7093,2.7496,1079352.31515124,3045951.077242561921
1643673600,2022-02-01 00:00:00,THETA/USDT,2.936,2.9756,2.8731,2.9225,865960.47333369,2527837.290237191459
1643587200,2022-01-31 00:00:00,THETA/USDT,2.8786,2.9475,2.704,2.9361,1078220.31591149,3039382.550183540911
1643500800,2022-01-30 00:00:00,THETA/USDT,2.9864,3.1143,2.8025,2.8807,971512.25856611,2878559.089686390498
1643414400,2022-01-29 00:00:00,THETA/USDT,2.9415,3.0283,2.8826,2.9834,713924.69605316,2124688.675370381661
1643328000,2022-01-28 00:00:00,THETA/USDT,2.8939,3.0051,2.792,2.9422,1310371.31639145,3786444.227129959706
1643241600,2022-01-27 00:00:00,THETA/USDT,2.8081,3.185,2.7709,2.8964,4002047.59713108,11852136.563613673639
1643155200,2022-01-26 00:00:00,THETA/USDT,2.6079,3.1495,2.5851,2.8074,2481541.40871135,7032265.975325122342
1643068800,2022-01-25 00:00:00,THETA/USDT,2.5913,2.711,2.4867,2.6045,1140542.12690683,2979874.313565998889
1642982400,2022-01-24 00:00:00,THETA/USDT,2.7844,2.7845,2.272,2.6022,1627792.2835201,4011788.21253611088
1642896000,2022-01-23 00:00:00,THETA/USDT,2.76,2.9406,2.614,2.787,1915717.37626313,5310366.413998967852
1642809600,2022-01-22 00:00:00,THETA/USDT,3.4053,3.4746,2.35,2.7602,4004191.33544977,11250705.337122480144
1642723200,2022-01-21 00:00:00,THETA/USDT,4.0899,4.3539,3.2726,3.4125,3481797.21080321,13331648.671068608073
1642636800,2022-01-20 00:00:00,THETA/USDT,4.3372,4.6766,4.072,4.0927,2122395.01549209,9404368.925351385314
1642550400,2022-01-19 00:00:00,THETA/USDT,4.2109,4.479,4.104,4.3356,2966065.96312547,12849271.219214131333
1642464000,2022-01-18 00:00:00,THETA/USDT,3.9617,4.2538,3.8342,4.2113,1507573.42259916,6142843.812448977687
1642377600,2022-01-17 00:00:00,THETA/USDT,4.2112,4.2239,3.85,3.9612,876602.73582512,3502365.9222855087
1642291200,2022-01-16 00:00:00,THETA/USDT,4.0885,4.2973,4.0351,4.2081,688029.82284214,2874092.547015130234
1642204800,2022-01-15 00:00:00,THETA/USDT,4.1348,4.159,4.0448,4.0885,501191.2828302,2059673.907708718069
1642118400,2022-01-14 00:00:00,THETA/USDT,3.9764,4.1502,3.875,4.1363,663683.93019571,2662981.391828109777
1642032000,2022-01-13 00:00:00,THETA/USDT,4.2684,4.296,3.9571,3.9764,846532.20861324,3490192.303878834162
1641945600,2022-01-12 00:00:00,THETA/USDT,4.097,4.3633,4.097,4.274,882533.33415703,3727815.485158290763
1641859200,2022-01-11 00:00:00,THETA/USDT,3.8436,4.1577,3.8,4.0938,738685.95180313,2953303.881687042717
1641772800,2022-01-10 00:00:00,THETA/USDT,4.036,4.1286,3.577,3.8485,815663.98096144,3159293.553514936433
1641686400,2022-01-09 00:00:00,THETA/USDT,3.9688,4.1499,3.9246,4.0315,630985.05808338,2552411.567996282537
1641600000,2022-01-08 00:00:00,THETA/USDT,4.1857,4.3365,3.8067,3.9675,994591.98758732,4042171.961767270204
1641513600,2022-01-07 00:00:00,THETA/USDT,4.3868,4.4065,4.0097,4.1799,976359.39905971,4090576.320968489447
1641427200,2022-01-06 00:00:00,THETA/USDT,4.409,4.4477,4.1516,4.3873,1105885.11924455,4763578.970353462774
1641340800,2022-01-05 00:00:00,THETA/USDT,4.725,5.3162,4.1201,4.4122,2113284.44602793,10185682.170834369196
1641254400,2022-01-04 00:00:00,THETA/USDT,4.7016,4.9498,4.5862,4.7252,852187.13693673,4061875.937393469068
1641168000,2022-01-03 00:00:00,THETA/USDT,4.8765,4.8831,4.6145,4.703,666561.08200185,3175795.465152674376
1641081600,2022-01-02 00:00:00,THETA/USDT,4.945,4.9726,4.7815,4.8842,707796.46323053,3445904.880525916571
1640995200,2022-01-01 00:00:00,THETA/USDT,4.7042,4.9756,4.7,4.9429,876285.00217136,4239539.02319382429
1640908800,2021-12-31 00:00:00,THETA/USDT,4.811,4.9451,4.5578,4.7073,1338251.75580721,6345648.843615070208
1640822400,2021-12-30 00:00:00,THETA/USDT,4.9123,4.9899,4.71,4.8105,863880.58129354,4198702.121284734816
1640736000,2021-12-29 00:00:00,THETA/USDT,5.0776,5.2787,4.8443,4.9112,1188650.00609536,6042800.999435294953
1640649600,2021-12-28 00:00:00,THETA/USDT,5.4739,5.4739,4.955,5.0807,1432773.1545869,7481728.366416524738
